id,lon,lat,IDENT,OVEN,INBU,GRSP
1,-90.64125871220,44.11438591600,PH101,1.71000000000,0.50000000000,0.00000000000
2,-90.64215030160,44.11659010570,PH102,1.83000000000,1.21000000000,0.00000000000
3,-90.64342351100,44.11863377550,PH103,1.88000000000,0.71000000000,0.00000000000
4,-90.64279160090,44.12075364510,PH104,2.17000000000,0.00000000000,0.00000000000
5,-90.63986497160,44.12199785470,PH105,1.88000000000,0.33000000000,0.00000000000
6,-90.63681027240,44.12296420440,PH106,1.04000000000,0.50000000000,0.00000000000
7,-90.63241690380,44.12202115430,PH107,0.83000000000,1.46000000000,0.00000000000
8,-90.63335326640,44.11867618590,PH108,1.46000000000,1.50000000000,0.00000000000
9,-90.62947108530,44.11694725490,PH109,1.88000000000,0.50000000000,0.00000000000
10,-90.62674025630,44.11544924490,PH110,1.92000000000,0.96000000000,0.00000000000
11,-90.62822787610,44.11323381540,PH111,2.50000000000,0.83000000000,0.00000000000
12,-90.63257406480,44.11356524560,PH112,2.25000000000,0.46000000000,0.00000000000
13,-90.69865447140,43.98058025060,PH401,0.38000000000,0.00000000000,0.00000000000
14,-90.69956022140,43.97801933100,PH402,1.17000000000,0.33000000000,0.00000000000
15,-90.69508042260,43.97908836060,PH403,1.54000000000,0.46000000000,0.00000000000
16,-90.69080658410,43.97731215060,PH404,2.63000000000,0.00000000000,0.00000000000
17,-90.68712767530,43.97635242050,PH405,0.75000000000,0.13000000000,0.00000000000
18,-90.68221001690,43.97466372050,PH406,0.46000000000,0.33000000000,0.00000000000
19,-90.67977607740,43.97682013000,PH407,0.79000000000,0.46000000000,0.00000000000
20,-90.67500618860,43.97770667960,PH408,0.25000000000,0.96000000000,0.00000000000
21,-90.67123794000,43.97587087960,PH409,1.75000000000,0.13000000000,0.00000000000
22,-90.66747958100,43.97636859930,PH410,0.83000000000,0.58000000000,0.00000000000
23,-90.66393496190,43.97768589890,PH411,0.25000000000,0.83000000000,0.00000000000
24,-90.70314542560,43.98219353260,PH412,0.46000000000,0.00000000000,0.00000000000
25,-90.67067231340,44.11599146650,PH601,1.42000000000,0.33000000000,0.00000000000
26,-90.66786555440,44.11411375670,PH602,1.46000000000,0.75000000000,0.00000000000
27,-90.66669795440,44.11711497610,PH603,2.42000000000,0.00000000000,0.00000000000
28,-90.66298410560,44.11594360610,PH604,1.13000000000,1.08000000000,0.00000000000
29,-90.66245210550,44.11857166560,PH605,1.46000000000,1.08000000000,0.00000000000
30,-90.66264672490,44.12258886500,PH606,3.13000000000,0.50000000000,0.00000000000
31,-90.66499651400,44.12471535480,PH607,2.08000000000,0.33000000000,0.00000000000
32,-90.66901378280,44.12455391510,PH608,2.42000000000,0.33000000000,0.00000000000
33,-90.67250409190,44.12342017550,PH609,1.00000000000,0.33000000000,0.00000000000
34,-90.67383322770,44.12109176580,PH611,0.33000000000,0.00000000000,0.00000000000
35,-90.67751411300,44.12189401860,C811,0.78000000000,2.47000000000,0.00000000000
36,-90.67595126410,44.12434532110,C812,0.00000000000,1.75000000000,0.00000000000
37,-90.76148232000,43.93616030000,A210,1.25000000000,3.88000000000,0.00000000000
38,-90.76405507000,43.93485624000,A211,0.13000000000,1.63000000000,0.00000000000
39,-90.76131821000,43.93336577000,A212,0.00000000000,1.75000000000,0.00000000000
40,-90.71375770000,43.96347541000,B108,0.00000000000,0.53000000000,1.50000000000
41,-90.71434904000,43.96084442000,B109,0.00000000000,0.64000000000,1.00000000000
42,-90.70424256000,43.96692691000,B111,0.00000000000,1.31000000000,0.00000000000
43,-90.66962689000,43.95061565000,B301,0.00000000000,2.92000000000,0.00000000000
44,-90.64789999000,43.95668750000,B306,0.00000000000,1.08000000000,0.00000000000
45,-90.65139952000,43.95609506000,B307,0.00000000000,1.53000000000,0.00000000000
46,-90.65482772000,43.95621317000,B308,0.00000000000,1.50000000000,0.00000000000
47,-90.65891816640,43.95669834840,B309,0.00000000000,1.08000000000,0.00000000000
48,-90.66272071000,43.95718421000,B310,0.00000000000,1.06000000000,0.17000000000
49,-90.65301000320,43.95361111000,B316,0.00000000000,0.92000000000,1.72000000000
50,-90.65728680780,43.95448564160,B317,0.00000000000,1.83000000000,0.00000000000
51,-90.65640863000,43.95852054000,B401,0.00000000000,0.67000000000,0.89000000000
52,-90.65148359000,43.96061635000,B403,0.00000000000,2.78000000000,0.00000000000
53,-90.64715903000,43.95974538000,B404,0.00000000000,1.53000000000,0.00000000000
54,-90.64779941000,43.96301005000,B405,0.00000000000,2.06000000000,0.00000000000
55,-90.65248204000,43.96538749000,B406,0.00000000000,0.00000000000,8.94000000000
56,-90.65352869000,43.96796283000,B407,0.00000000000,0.00000000000,10.03000000000
57,-90.65726191000,43.96893463000,B408,0.00000000000,0.00000000000,9.11000000000
58,-90.66269120000,43.96481576000,B410,0.00000000000,0.00000000000,8.86000000000
59,-90.65946459000,43.96337198000,B411,0.00000000000,0.00000000000,8.36000000000
60,-90.65783112000,43.96092765000,B412,0.00000000000,0.11000000000,8.19000000000
61,-90.65425733000,43.96230086000,B413,0.00000000000,0.61000000000,0.83000000000
62,-90.65628575000,43.96481652000,B414,0.00000000000,0.17000000000,8.86000000000
63,-90.65258121460,43.95806679920,B402,0.00000000000,2.14000000000,0.00000000000
64,-90.67036567000,43.96550903000,B702,0.00000000000,0.00000000000,9.11000000000
65,-90.67378792000,43.96421830000,B703,0.00000000000,0.42000000000,4.47000000000
66,-90.67260624000,43.96156543000,B704,0.00000000000,0.47000000000,4.97000000000
